unit_number,time_cycles,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
75,1,0.0018,-0.0003,100.0,518.67,641.82,1587.44,1400.17,14.62,21.61,554.43,2388.0,9055.79,1.3,47.35,522.15,2388.04,8137.62,8.4068,0.03,392,2388,100.0,38.84,23.4836
75,2,0.0017,-0.0002,100.0,518.67,642.46,1587.02,1400.57,14.62,21.61,554.32,2388.04,9068.76,1.3,47.33,522.4,2388.09,8144.79,8.4068,0.03,392,2388,100.0,38.96,23.3865
75,3,-0.0015,-0.0001,100.0,518.67,642.27,1584.48,1399.93,14.62,21.6,553.84,2388.02,9058.35,1.3,47.2,522.55,2387.99,8143.59,8.4092,0.03,392,2388,100.0,39.01,23.4362
75,4,-0.0037,-0.0001,100.0,518.67,642.31,1584.94,1402.02,14.62,21.61,554.67,2388.02,9061.39,1.3,47.27,521.83,2388.02,8145.47,8.4322,0.03,392,2388,100.0,38.84,23.3513
75,5,-0.0042,-0.0005,100.0,518.67,642.12,1578.93,1399.48,14.62,21.61,553.94,2388.01,9056.11,1.3,47.18,521.69,2388.03,8139.92,8.4355,0.03,393,2388,100.0,39.14,23.3293
75,6,-0.0011,-0.0005,100.0,518.67,642.19,1588.18,1401.68,14.62,21.61,553.63,2388.02,9058.23,1.3,47.45,522.14,2388.03,8141.03,8.411,0.03,392,2388,100.0,38.86,23.4299
75,7,-0.0032,-0.0,100.0,518.67,642.43,1588.9,1401.81,14.62,21.61,554.21,2388.05,9062.25,1.3,47.17,521.96,2388.06,8141.87,8.4296,0.03,394,2388,100.0,38.88,23.4498
75,8,0.0015,-0.0004,100.0,518.67,642.26,1588.48,1402.43,14.62,21.61,554.02,2388.05,9058.7,1.3,47.39,522.17,2388.08,8141.73,8.4133,0.03,392,2388,100.0,38.89,23.3647
75,9,-0.0021,-0.0004,100.0,518.67,641.57,1585.23,1408.18,14.62,21.61,554.72,2388.04,9064.87,1.3,47.25,522.24,2388.05,8138.47,8.3966,0.03,393,2388,100.0,39.0,23.3596
75,10,0.0029,-0.0005,100.0,518.67,642.39,1586.31,1400.64,14.62,21.61,554.2,2388.04,9059.51,1.3,47.28,522.66,2388.05,8142.28,8.3925,0.03,392,2388,100.0,39.13,23.3207
75,11,-0.0046,0.0004,100.0,518.67,642.01,1580.86,1408.55,14.62,21.61,554.42,2388.01,9054.28,1.3,47.33,521.96,2388.06,8139.78,8.396,0.03,391,2388,100.0,38.94,23.3083
75,12,0.0007,-0.0005,100.0,518.67,641.83,1589.26,1406.92,14.62,21.61,553.8,2388.05,9057.01,1.3,47.36,522.02,2388.0,8136.71,8.3916,0.03,392,2388,100.0,39.17,23.3521
75,13,-0.002,0.0,100.0,518.67,642.18,1584.43,1403.23,14.62,21.61,554.15,2387.97,9051.41,1.3,47.21,522.34,2388.03,8140.44,8.3877,0.03,392,2388,100.0,38.95,23.3709
75,14,-0.0001,0.0002,100.0,518.67,642.34,1591.29,1403.67,14.62,21.61,554.34,2388.02,9062.92,1.3,47.49,522.06,2388.07,8139.82,8.4062,0.03,392,2388,100.0,39.06,23.388
75,15,-0.0009,-0.0004,100.0,518.67,642.29,1591.32,1401.34,14.62,21.61,555.12,2388.01,9055.99,1.3,47.5,522.4,2388.03,8140.24,8.3623,0.03,392,2388,100.0,38.88,23.3763
75,16,-0.0033,-0.0001,100.0,518.67,642.31,1591.52,1398.68,14.62,21.61,554.46,2388.05,9057.01,1.3,47.52,522.21,2388.03,8141.75,8.4556,0.03,391,2388,100.0,38.95,23.2825
75,17,0.0031,-0.0,100.0,518.67,642.37,1585.91,1399.72,14.62,21.61,553.86,2388.06,9057.77,1.3,47.28,521.95,2388.06,8138.63,8.3976,0.03,392,2388,100.0,38.93,23.3542
75,18,-0.0023,-0.0003,100.0,518.67,642.71,1589.06,1405.9,14.62,21.61,554.28,2388.07,9060.13,1.3,47.33,521.58,2388.06,8145.6,8.3885,0.03,389,2388,100.0,38.75,23.3325
75,19,-0.0011,-0.0002,100.0,518.67,643.02,1588.82,1402.03,14.62,21.61,554.16,2388.06,9064.61,1.3,47.42,521.74,2388.07,8138.81,8.4467,0.03,392,2388,100.0,38.93,23.3266
75,20,0.0006,0.0001,100.0,518.67,642.31,1581.42,1398.0,14.62,21.61,553.83,2388.01,9053.78,1.3,47.41,522.41,2388.02,8139.82,8.4209,0.03,393,2388,100.0,38.89,23.2519
75,21,0.0016,-0.0001,100.0,518.67,642.25,1583.57,1400.04,14.62,21.61,554.19,2388.06,9054.94,1.3,47.13,522.09,2388.07,8137.18,8.4176,0.03,392,2388,100.0,38.91,23.4113
75,22,0.0008,0.0002,100.0,518.67,642.19,1592.69,1404.83,14.62,21.61,553.45,2388.07,9065.94,1.3,47.17,522.12,2388.04,8138.55,8.3919,0.03,393,2388,100.0,38.87,23.4156
75,23,0.0008,-0.0001,100.0,518.67,642.63,1587.18,1404.02,14.62,21.61,554.46,2388.04,9055.07,1.3,47.33,521.79,2388.08,8139.69,8.413,0.03,392,2388,100.0,38.95,23.4283
75,24,0.001,-0.0001,100.0,518.67,642.49,1584.35,1396.52,14.62,21.61,553.63,2388.01,9054.82,1.3,47.16,522.13,2388.04,8143.72,8.3848,0.03,392,2388,100.0,38.98,23.3199
75,25,0.0005,-0.0001,100.0,518.67,642.33,1583.2,1401.98,14.62,21.61,554.09,2388.06,9063.51,1.3,47.36,521.94,2388.07,8139.03,8.4103,0.03,393,2388,100.0,38.99,23.3375
75,26,0.0004,0.0002,100.0,518.67,642.2,1588.17,1399.03,14.62,21.61,554.32,2388.11,9057.63,1.3,47.17,521.67,2388.08,8140.73,8.4561,0.03,393,2388,100.0,39.08,23.3851
75,27,-0.0028,0.0002,100.0,518.67,642.65,1579.05,1399.18,14.62,21.61,554.76,2388.07,9054.88,1.3,47.43,522.28,2388.09,8135.95,8.4,0.03,393,2388,100.0,39.02,23.3691
75,28,0.0026,-0.0002,100.0,518.67,643.07,1584.53,1397.6,14.62,21.61,554.24,2388.05,9054.04,1.3,47.48,522.11,2388.13,8142.13,8.4018,0.03,391,2388,100.0,38.75,23.5374
75,29,0.0004,-0.0002,100.0,518.67,642.52,1581.88,1406.66,14.62,21.61,554.68,2388.01,9057.08,1.3,47.36,522.42,2388.11,8142.29,8.4239,0.03,392,2388,100.0,38.98,23.2999
75,30,-0.0032,-0.0004,100.0,518.67,642.45,1589.4,1398.67,14.62,21.61,554.49,2388.07,9061.6,1.3,47.25,521.75,2388.04,8139.16,8.4267,0.03,393,2388,100.0,38.9,23.4163
75,31,-0.0003,-0.0001,100.0,518.67,642.1,1581.48,1404.84,14.62,21.61,553.76,2388.13,9061.82,1.3,47.35,522.12,2388.04,8141.55,8.4326,0.03,391,2388,100.0,38.87,23.2459
75,32,0.0006,-0.0005,100.0,518.67,642.45,1587.25,1406.95,14.62,21.61,553.23,2388.03,9063.44,1.3,47.29,521.91,2388.02,8139.77,8.3926,0.03,392,2388,100.0,38.95,23.4177
75,33,0.0032,0.0002,100.0,518.67,642.6,1591.05,1395.96,14.62,21.61,553.55,2388.01,9054.44,1.3,47.28,521.85,2388.04,8136.99,8.4344,0.03,393,2388,100.0,39.02,23.3844
75,34,0.002,-0.0002,100.0,518.67,642.31,1578.73,1398.32,14.62,21.61,554.31,2388.03,9055.7,1.3,47.39,521.97,2388.1,8144.79,8.4056,0.03,393,2388,100.0,38.98,23.3522
75,35,0.0034,0.0004,100.0,518.67,642.34,1581.29,1403.6,14.62,21.61,553.39,2388.04,9057.52,1.3,47.17,521.88,2388.04,8143.55,8.4209,0.03,393,2388,100.0,38.93,23.3455
75,36,0.0,-0.0004,100.0,518.67,642.24,1585.67,1400.28,14.62,21.61,553.67,2388.04,9057.44,1.3,47.27,521.59,2388.0,8138.22,8.4124,0.03,393,2388,100.0,39.12,23.3566
75,37,-0.0015,-0.0004,100.0,518.67,642.48,1584.99,1395.15,14.62,21.61,554.34,2388.01,9062.7,1.3,47.38,522.13,2388.06,8141.95,8.4153,0.03,391,2388,100.0,38.93,23.4317
75,38,0.0017,0.0,100.0,518.67,642.15,1583.64,1394.51,14.62,21.61,553.95,2388.02,9061.92,1.3,47.47,522.15,2388.04,8133.61,8.4127,0.03,391,2388,100.0,38.87,23.439
75,39,-0.0011,-0.0005,100.0,518.67,642.41,1590.17,1395.72,14.62,21.61,554.75,2387.99,9058.65,1.3,47.27,522.14,2388.09,8140.47,8.3995,0.03,392,2388,100.0,38.87,23.3715
